sitename,stress_type,run_index
US-Var,baseline,16
US-Var,default,36
US-Var,nn_paw,12
US-Var,nn_whole_no_lai,21
US-Var,nn_whole,4
US-Var,gpp_acm_et_nn,33
US-Ton,baseline,35
US-Ton,default,37
US-Ton,nn_paw,20
US-Ton,nn_whole_no_lai,26
US-Ton,nn_whole,18
US-Ton,gpp_acm_et_nn,34
AU-Stp,baseline,10
AU-Stp,default,36
AU-Stp,nn_paw,28
AU-Stp,nn_whole_no_lai,20
AU-Stp,nn_whole,20
AU-Stp,gpp_acm_et_nn,32
US-SRG,baseline,18
US-SRG,default,39
US-SRG,nn_paw,12
US-SRG,nn_whole_no_lai,26
US-SRG,nn_whole,32
US-SRG,gpp_acm_et_nn,38
FR-Pue,baseline,1
FR-Pue,default,39
FR-Pue,nn_paw,21
FR-Pue,nn_whole_no_lai,21
FR-Pue,nn_whole,40
FR-Pue,gpp_acm_et_nn,17
AU-How,baseline,24
AU-How,default,6
AU-How,nn_paw,12
AU-How,nn_whole_no_lai,31
AU-How,nn_whole,3
AU-How,gpp_acm_et_nn,30
AU-DaS,baseline,23
AU-DaS,default,2
AU-DaS,nn_paw,16
AU-DaS,nn_whole_no_lai,23
AU-DaS,nn_whole,24
AU-DaS,gpp_acm_et_nn,23
AU-Dry,baseline,24
AU-Dry,default,2
AU-Dry,nn_paw,14
AU-Dry,nn_whole_no_lai,36
AU-Dry,nn_whole,7
AU-Dry,gpp_acm_et_nn,29
NL-Loo,baseline,37
NL-Loo,default,29
NL-Loo,nn_paw,9
NL-Loo,nn_whole_no_lai,9
NL-Loo,nn_whole,32
NL-Loo,gpp_acm_et_nn,4
US-MMS,baseline,32
US-MMS,default,37
US-MMS,nn_paw,23
US-MMS,nn_whole_no_lai,4
US-MMS,nn_whole,16
US-MMS,gpp_acm_et_nn,35
DE-Hai,baseline,35
DE-Hai,default,36
DE-Hai,nn_paw,5
DE-Hai,nn_whole_no_lai,7
DE-Hai,nn_whole,18
DE-Hai,gpp_acm_et_nn,38
RU-Fyo,baseline,36
RU-Fyo,default,10
RU-Fyo,nn_paw,36
RU-Fyo,nn_whole_no_lai,22
RU-Fyo,nn_whole,40
RU-Fyo,gpp_acm_et_nn,24
US-Ha1,baseline,10
US-Ha1,default,12
US-Ha1,nn_paw,7
US-Ha1,nn_whole_no_lai,36
US-Ha1,nn_whole,14
US-Ha1,gpp_acm_et_nn,36
BE-Vie,baseline,22
BE-Vie,default,33
BE-Vie,nn_paw,19
BE-Vie,nn_whole_no_lai,2
BE-Vie,nn_whole,29
BE-Vie,gpp_acm_et_nn,3
DE-Tha,baseline,17
DE-Tha,default,8
DE-Tha,nn_paw,34
DE-Tha,nn_whole_no_lai,39
DE-Tha,nn_whole,36
DE-Tha,gpp_acm_et_nn,19
FI-Hyy,baseline,26
FI-Hyy,default,10
FI-Hyy,nn_paw,18
FI-Hyy,nn_whole_no_lai,34
FI-Hyy,nn_whole,38
FI-Hyy,gpp_acm_et_nn,20
